1.751574755,1.826109767,1.849723339
2.841959,2.698967218,2.698967218,2.64898634,2.554379702,2.768618107
1.959524155,1.495246649,1.589391828,1.924375773,1.915784836,1.730386257
1.803091645,2.178354263,3.301044703,1.857730746,1.716543198,1.637922883
1.950617313,1.595300436,1.459645629,1.607250214,4.565274715
2.332259893,2.899566174,2.357888937,2.804809094,2.200696468,2.919291258
2.823261976,1.924375773,1.924375773,2.103606939,3.022083044,3.109679699
1.841784596,1.490054846,2.12443471,1.527173638,1.349483609,2.332259893
2.716049433,3.226584911,2.632735014,3.178783655,2.880105972
2.167352438,2.294843912,2.145678997,1.865807891,1.941790938,2.145678997
2.282637358,2.438271523,2.223501682,1.857730746
2.632735014,2.64898634,2.919291258,2.880105972,3.08730793
1.490054846,1.744454503,2.043503761,1.607250214,1.803091645,1.669789076
1.233148813,1.284837723,1.521758199,1.650522351,1.4209795,1.723436952
1.454697609,5.646523953,2.585155487,2.466297627,1.723436952
1.924375773,2.178354263,2.156461239,1.865807891,1.803091645
1.702919841,1.737391949,1.644198418,1.682885528,1.865807891,1.950617313
4.932595253,3.699446678,3.901234627,3.576131582
1.571925998
1.459645629,2.03381896,1.915784836,2.113969564,5.170310974
1.890466094,2.103606939,2.332259893,1.407002688
1.663317084,1.444901705,1.795547247,1.407002688,1.36233592,1.300411582,1.55483985,1.595300436,1.296482801,1.269632578,1.440052986
1.849723339,2.384087801,1.7587533,1.601253033,1.637922883,1.788065791,1.631695032,1.788065791
1.644198418,1.407002688,1.474693537,1.379857898,1.505739689,1.358024716,1.696188927,1.527173638,1.262164116
2.585155487,1.882174611,2.919291258,1.723436952,1.595300436,1.773288488,1.709704399,1.826109767,1.803091645,1.689511061,2.200696468
1.619380355,1.444901705,1.818372011,1.986739874,2.223501682,2.145678997,1.716543198,1.682885528,1.950617313,2.12443471,2.12443471
2.466297627,2.103606939,1.810699582,1.716543198,1.212248087
1.696188927
1.560493827
2.750870466,3.433086395,1.416289806
2.053281307,2.24678421,3.000949621,2.319653034,2.34500432,2.319653034,1.873955488,2.919291258
1.7587533,2.841959,1.907270193,1.566189051,2.189468384
1.723436952,1.977584362
5.799132347
1.39329803,1.744454503
1.773288488
1.977584362,1.589391828
1.941790938,1.411630988
1.744454503,2.270559788,2.24678421,2.03381896,1.765990973
1.773288488
2.12443471
1.637922883,1.20543766
2.438271523
1.950617313,1.281002402,1.826109767,1.702919841
1.689511061,1.601253033,1.384309053,1.336871624,3.433086395,1.511041522
1.849723339,2.083183527,1.689511061,1.744454503,1.397836447,1.650522351,1.950617313,1.865807891,1.950617313
2.06315279,2.466297627
4.61436367,2.073119879
4.565274715
3.08730793,3.901234627,3.576131582,2.64898634,2.509566069,2.466297627
4.61436367
2.235082388
3.132378101,1.619380355
1.631695032,2.494975567,2.307181835,2.939286232,2.899566174,2.12443471,1.818372011,1.613292456
2.135004044,1.516380906,1.716543198
1.669789076,1.308340907,1.411630988,1.613292456,2.103606939
3.022083044,3.433086395
1.577705145
3.831569672
1.730386257,2.113969564
1.308340907,1.780646443,2.370916128,1.430452704,1.37104094,1.516380906,1.454697609
1.336871624,3.109679699,2.78659606
5.646523953,3.379022121,5.048656464,3.546576977
1.907270193,2.167352438,2.438271523,2.509566069,2.294843912,1.857730746
2.06315279
2.113969564,2.698967218,2.135004044,2.014722109,5.646523953,1.977584362
4.378936768
1.849723339
2.319653034
2.093345404,1.601253033,2.212040186,2.282637358,2.569675446,2.307181835,2.768618107,2.319653034
1.977584362
1.968512893,2.053281307
2.03381896,2.438271523,2.093345404
1.495246649,2.073119879,2.073119879
1.560493827,1.233148813,2.319653034,2.494975567,1.744454503,1.521758199,1.676311731
3.226584911,1.773288488,2.509566069,1.803091645,2.880105972,1.803091645
5.048656464,2.919291258
3.08730793,1.625514388
1.818372011
1.849723339,1.7587533,2.424496174
1.613292456
3.699446678,2.768618107
2.370916128,2.357888937,2.480553865
3.405839682,2.073119879,2.823261976,3.065255642,3.109679699
2.053281307,4.248869419
4.715777874
1.595300436
2.212040186,2.397406817
1.349483609,1.469643116
3.901234627,2.64898634,3.08730793
2.698967218,2.539265156,2.41087532
4.087007523,1.444901705,1.676311731,1.890466094,2.78659606,2.424496174,2.397406817,2.880105972
2.841959,3.667827368
1.924375773
3.132378101,5.170310974
2.156461239,2.939286232,4.424080372,2.073119879,4.821750641
2.554379702,2.452204704
2.135004044,2.733349085,2.750870466,2.919291258,2.768618107,2.632735014,2.539265156,2.424496174,2.616681814,2.569675446
4.048450947,3.901234627,3.488909006,4.087007523,3.667827368,3.352623463,3.576131582,4.166367054
2.64898634,3.178783655,2.841959,2.200696468,2.319653034,3.043516398
2.632735014,3.132378101,3.275845766,3.488909006,2.78659606,3.132378101,2.919291258,2.698967218,2.698967218,2.804809094
4.470164776,4.470164776,3.109679699,4.087007523,4.989951134,4.470164776,3.901234627
3.043516398,2.524328232,2.880105972
